¿­1,name,age,marketvalue,2019/2020 league playing time(min),2019/2020 league mean rating
164,Andre Onana,24,¢æ36.00m,2160 ,6.76
165,Alessio Romagnoli,25,¢æ36.00m,3092 ,6.86
166,Joao Cancelo,26,¢æ36.00m,1206 ,7.21
167,Maxi Gomez,24,¢æ35.00m,2149 ,6.70
168,Callum Hudson-Odoi,20,¢æ35.00m,852 ,6.56
169,Giovani Lo Celso,24,¢æ35.00m,1489 ,6.62
170,Mikel Merino,24,¢æ35.00m,3144 ,7.31
171,Franck Kessie,23,¢æ35.00m,2912 ,6.75
172,Presnel Kimpembe,25,¢æ35.00m,1224 ,7.00
173,Nelson Semedo,27,¢æ35.00m,2097 ,6.79
174,Julian Brandt,24,¢æ35.00m,2210 ,7.04
175,Piotr Zielinski,26,¢æ35.00m,2926 ,6.79
176,Raphael Guerreiro,26,¢æ35.00m,2340 ,7.32
177,Andrea Belotti,26,¢æ35.00m,3011 ,7.12
178,Alassane Plea,27,¢æ35.00m,2151 ,7.24
179,Matthias Ginter,26,¢æ35.00m,2781 ,6.84
180,Marcel Sabitzer,26,¢æ35.00m,2507 ,7.24
181,James Rodriguez,29,¢æ35.00m,419 ,6.91
182,Alex Sandro,29,¢æ35.00m,2386 ,6.97
183,David de Gea,30,¢æ35.00m,3450 ,6.57
184,Thomas Muller,31,¢æ35.00m,2260 ,7.42
185,Wojciech Szczesny,30,¢æ35.00m,2592 ,6.96
186,Ismael Bennacer,22,¢æ33.00m,2488 ,7.07
187,Christopher Nkunku,23,¢æ33.00m,1927 ,7.33
188,Hirving Lozano,25,¢æ33.00m,1021 ,6.52
189,Dani Olmo,22,¢æ33.00m,754 ,7.01
190,Matheus Cunha,21,¢æ32.00m,1021 ,6.97
191,Matteo Guendouzi,21,¢æ32.00m,1748 ,6.69
192,Sandro Tonali,20,¢æ32.00m,3019 ,6.86
193,Boubacar Kamara,21,¢æ32.00m,2141 ,6.99
194,Dani Ceballos,24,¢æ32.00m,1699 ,6.84
195,Kieran Tierney,23,¢æ32.00m,993 ,6.64
196,Lorenzo Pellegrini,24,¢æ32.00m,2109 ,7.05
197,Allan Saint-Maximin,23,¢æ32.00m,1874 ,7.29
198,Ricardo Pereira,27,¢æ32.00m,2520 ,7.50
199,Nabil Fekir,27,¢æ32.00m,2652 ,7.22
200,Hector Bellerin,25,¢æ32.00m,1159 ,6.64
201,Ante Rebic,27,¢æ32.00m,1400 ,6.85
202,Florian Thauvin,27,¢æ32.00m,20 ,6.30
203,Filip Kostic,28,¢æ32.00m,2959 ,7.41
204,Konstantinos Manolas,29,¢æ32.00m,2178 ,6.71
205,Thorgan Hazard,27,¢æ32.00m,2393 ,7.21
206,Joel Matip,29,¢æ32.00m,704 ,7.29
207,Bernd Leno,28,¢æ32.00m,2650 ,6.88
208,Andrej Kramaric,29,¢æ32.00m,1423 ,7.21
209,Angel Di Maria,32,¢æ32.00m,2005 ,7.75
210,Dan-Axel Zagadou,21,¢æ31.50m,980 ,6.98
211,Pedri,18,¢æ30.00m,N/A,N/A
212,Edmond Tapsoba,21,¢æ30.00m,2408 ,6.69
213,Jonathan David,20,¢æ30.00m,N/A,N/A
214,Giovanni Reyna,18,¢æ30.00m,345 ,6.32
215,Reece James,20,¢æ30.00m,1514 ,6.90
216,Trincao,20,¢æ30.00m,1606 ,7.28
217,Takefusa Kubo,19,¢æ30.00m,2309 ,6.75
218,Carlos Soler,23,¢æ30.00m,2075 ,6.39
219,Ollie Watkins,24,¢æ30.00m,4430 ,7.26
220,Malcom,23,¢æ30.00m,829 ,7.33
221,Lucas Torreira,24,¢æ30.00m,1510 ,6.52
222,Manuel Locatelli,22,¢æ30.00m,2597 ,7.13
223,Unai Simon,23,¢æ30.00m,2992 ,6.64
224,Rodrigo de Paul,26,¢æ30.00m,2828 ,7.25
225,Inaki Williams,26,¢æ30.00m,2959 ,6.69
226,Wout Weghorst,28,¢æ30.00m,2741 ,7.06
227,Joaquin Correa,26,¢æ30.00m,2005 ,7.16
228,Konrad Laimer,23,¢æ30.00m,2124 ,6.96
229,Jose Gaya,25,¢æ30.00m,1989 ,6.64
230,Nico Elvedi,24,¢æ30.00m,2624 ,6.88
231,Sebastien Haller,26,¢æ30.00m,2263 ,7.08
232,Gerard Moreno,28,¢æ30.00m,2755 ,7.31
233,Kurt Zouma,26,¢æ30.00m,2344 ,6.91
234,Rodrigo,29,¢æ30.00m,1889 ,6.76
235,Lucas Digne,27,¢æ30.00m,3035 ,7.16
236,Hakan Calhanoglu,26,¢æ30.00m,2719 ,7.19
237,Jesus Corona,27,¢æ30.00m,2793 ,7.39
238,Antonio Rudiger,27,¢æ30.00m,1711 ,6.77
239,Jordi Alba,31,¢æ30.00m,2190 ,6.87
240,Leon Bailey,23,¢æ29.50m,1095 ,6.70
241,Bruno Guimaraes,23,¢æ28.00m,2235 ,7.17
242,Gabriel,22,¢æ28.00m,2087 ,6.93
243,Nikola Milenkovic,23,¢æ28.00m,3257 ,6.75
244,Harvey Barnes,22,¢æ28.00m,2094 ,6.76
245,Rafael Leao,21,¢æ28.00m,1397 ,6.72
246,Jarrod Bowen,23,¢æ28.00m,922 ,6.99
247,Steven Bergwijn,23,¢æ28.00m,2041 ,7.07
248,Sergio Reguilon,23,¢æ28.00m,2509 ,7.10
249,Florian Neuhaus,23,¢æ28.00m,2362 ,6.98
250,Harry Winks,24,¢æ28.00m,2230 ,6.57
251,Thilo Kehrer,24,¢æ28.00m,480 ,6.71
252,Andre Silva,25,¢æ28.00m,1580 ,6.87
253,Alejandro Grimaldo,25,¢æ28.00m,2301 ,7.42
254,Adrien Rabiot,25,¢æ28.00m,1914 ,6.82
255,James Tarkowski,28,¢æ28.00m,3420 ,7.19
256,Leander Dendoncker,25,¢æ28.00m,2795 ,6.68
257,Jordan Veretout,27,¢æ28.00m,2663 ,6.74
258,Benjamin Mendy,26,¢æ28.00m,1497 ,6.83
259,Nicolas Tagliafico,28,¢æ28.00m,2054 ,7.30
260,Michael Keane,27,¢æ28.00m,2586 ,6.83
261,Granit Xhaka,28,¢æ28.00m,2591 ,6.78
262,Kevin Volland,28,¢æ28.00m,2051 ,7.10
263,Jordan Henderson,30,¢æ28.00m,2244 ,7.15
264,Jude Bellingham,17,¢æ27.00m,2710 ,6.78
265,Douglas Luiz,22,¢æ27.00m,2608 ,6.63
266,Merih Demiral,22,¢æ27.00m,418 ,7.05
267,Robin Gosens,26,¢æ27.00m,2628 ,7.22
268,Tyrone Mings,27,¢æ27.00m,2903 ,6.63
269,Arkadiusz Milik,26,¢æ27.00m,1751 ,6.88
270,Lewis Dunk,29,¢æ27.00m,3231 ,6.89
271,Tiemoue Bakayoko,26,¢æ26.00m,1722 ,7.05
272,Jordan Pickford,26,¢æ26.00m,3450 ,6.40
273,Emre Can,26,¢æ26.00m,1239 ,6.74
274,Alex Iwobi,24,¢æ25.50m,1604 ,6.56
275,Corentin Tolisso,26,¢æ25.50m,638 ,6.68
276,Gabriel Martinelli,19,¢æ25.00m,657 ,6.40
277,Gabriel Veron,18,¢æ25.00m,N/A,N/A
278,Rayan Cherki,17,¢æ25.00m,N/A,N/A
279,Dwight McNeil,21,¢æ25.00m,3345 ,7.06
280,Fabio Silva,18,¢æ25.00m,N/A,N/A
281,Emerson,21,¢æ25.00m,1026 ,6.71
