"","name","age","marketvalue"
"167","Maxi Gomez",24,"¢æ35.00m"
"168","Callum Hudson-Odoi",20,"¢æ35.00m"
"169","Giovani Lo Celso",24,"¢æ35.00m"
"170","Mikel Merino",24,"¢æ35.00m"
"171","Franck Kessie",23,"¢æ35.00m"
"172","Presnel Kimpembe",25,"¢æ35.00m"
"173","Nelson Semedo",27,"¢æ35.00m"
"174","Julian Brandt",24,"¢æ35.00m"
"175","Piotr Zielinski",26,"¢æ35.00m"
"176","Raphael Guerreiro",26,"¢æ35.00m"
"177","Andrea Belotti",26,"¢æ35.00m"
"178","Alassane Plea",27,"¢æ35.00m"
"179","Matthias Ginter",26,"¢æ35.00m"
"180","Marcel Sabitzer",26,"¢æ35.00m"
"181","James Rodriguez",29,"¢æ35.00m"
"182","Alex Sandro",29,"¢æ35.00m"
"183","David de Gea",30,"¢æ35.00m"
"184","Thomas Muller",31,"¢æ35.00m"
"185","Wojciech Szczesny",30,"¢æ35.00m"
"186","Ismael Bennacer",22,"¢æ33.00m"
"187","Christopher Nkunku",23,"¢æ33.00m"
"188","Hirving Lozano",25,"¢æ33.00m"
"189","Dani Olmo",22,"¢æ33.00m"
"190","Matheus Cunha",21,"¢æ32.00m"
"191","Matteo Guendouzi",21,"¢æ32.00m"
"192","Sandro Tonali",20,"¢æ32.00m"
"193","Boubacar Kamara",21,"¢æ32.00m"
"194","Dani Ceballos",24,"¢æ32.00m"
"195","Kieran Tierney",23,"¢æ32.00m"
"196","Lorenzo Pellegrini",24,"¢æ32.00m"
"197","Allan Saint-Maximin",23,"¢æ32.00m"
"198","Ricardo Pereira",27,"¢æ32.00m"
"199","Nabil Fekir",27,"¢æ32.00m"
"200","Hector Bellerin",25,"¢æ32.00m"
"201","Ante Rebic",27,"¢æ32.00m"
"202","Florian Thauvin",27,"¢æ32.00m"
"203","Filip Kostic",28,"¢æ32.00m"
"204","Konstantinos Manolas",29,"¢æ32.00m"
"205","Thorgan Hazard",27,"¢æ32.00m"
"206","Joel Matip",29,"¢æ32.00m"
"207","Bernd Leno",28,"¢æ32.00m"
"208","Andrej Kramaric",29,"¢æ32.00m"
"209","Angel Di Maria",32,"¢æ32.00m"
"210","Dan-Axel Zagadou",21,"¢æ31.50m"
"211","Pedri",18,"¢æ30.00m"
"212","Edmond Tapsoba",21,"¢æ30.00m"
"213","Jonathan David",20,"¢æ30.00m"
"214","Giovanni Reyna",18,"¢æ30.00m"
"215","Reece James",20,"¢æ30.00m"
"216","Trincao",20,"¢æ30.00m"
"217","Takefusa Kubo",19,"¢æ30.00m"
"218","Carlos Soler",23,"¢æ30.00m"
"219","Ollie Watkins",24,"¢æ30.00m"
"220","Malcom",23,"¢æ30.00m"
"221","Lucas Torreira",24,"¢æ30.00m"
"222","Manuel Locatelli",22,"¢æ30.00m"
"223","Unai Simon",23,"¢æ30.00m"
"224","Rodrigo de Paul",26,"¢æ30.00m"
"225","Inaki Williams",26,"¢æ30.00m"
"226","Wout Weghorst",28,"¢æ30.00m"
"227","Joaquin Correa",26,"¢æ30.00m"
"228","Konrad Laimer",23,"¢æ30.00m"
"229","Jose Gaya",25,"¢æ30.00m"
"230","Nico Elvedi",24,"¢æ30.00m"
"231","Sebastien Haller",26,"¢æ30.00m"
"232","Gerard Moreno",28,"¢æ30.00m"
"233","Kurt Zouma",26,"¢æ30.00m"
"234","Rodrigo",29,"¢æ30.00m"
"235","Lucas Digne",27,"¢æ30.00m"
"236","Hakan Calhanoglu",26,"¢æ30.00m"
"237","Jesus Corona",27,"¢æ30.00m"
"238","Antonio Rudiger",27,"¢æ30.00m"
"239","Jordi Alba",31,"¢æ30.00m"
"240","Leon Bailey",23,"¢æ29.50m"
"241","Bruno Guimaraes",23,"¢æ28.00m"
"242","Gabriel",22,"¢æ28.00m"
"243","Nikola Milenkovic",23,"¢æ28.00m"
"244","Harvey Barnes",22,"¢æ28.00m"
"245","Rafael Leao",21,"¢æ28.00m"
"246","Jarrod Bowen",23,"¢æ28.00m"
"247","Steven Bergwijn",23,"¢æ28.00m"
"248","Sergio Reguilon",23,"¢æ28.00m"
"249","Florian Neuhaus",23,"¢æ28.00m"
"250","Harry Winks",24,"¢æ28.00m"
"251","Thilo Kehrer",24,"¢æ28.00m"
"252","Andre Silva",25,"¢æ28.00m"
"253","Alejandro Grimaldo",25,"¢æ28.00m"
"254","Adrien Rabiot",25,"¢æ28.00m"
"255","James Tarkowski",28,"¢æ28.00m"
"256","Leander Dendoncker",25,"¢æ28.00m"
"257","Jordan Veretout",27,"¢æ28.00m"
"258","Benjamin Mendy",26,"¢æ28.00m"
"259","Nicolas Tagliafico",28,"¢æ28.00m"
"260","Michael Keane",27,"¢æ28.00m"
"261","Granit Xhaka",28,"¢æ28.00m"
"262","Kevin Volland",28,"¢æ28.00m"
"263","Jordan Henderson",30,"¢æ28.00m"
"264","Jude Bellingham",17,"¢æ27.00m"
"265","Douglas Luiz",22,"¢æ27.00m"
"266","Merih Demiral",22,"¢æ27.00m"
"267","Robin Gosens",26,"¢æ27.00m"
"268","Tyrone Mings",27,"¢æ27.00m"
"269","Arkadiusz Milik",26,"¢æ27.00m"
"270","Lewis Dunk",29,"¢æ27.00m"
"271","Tiemoue Bakayoko",26,"¢æ26.00m"
"272","Jordan Pickford",26,"¢æ26.00m"
"273","Emre Can",26,"¢æ26.00m"
"274","Alex Iwobi",24,"¢æ25.50m"
"275","Corentin Tolisso",26,"¢æ25.50m"
"276","Gabriel Martinelli",19,"¢æ25.00m"
"277","Gabriel Veron",18,"¢æ25.00m"
"278","Rayan Cherki",17,"¢æ25.00m"
"279","Dwight McNeil",21,"¢æ25.00m"
"280","Fabio Silva",18,"¢æ25.00m"
"281","Emerson",21,"¢æ25.00m"
"282","Benoit Badiashile",19,"¢æ25.00m"
"283","Dominik Szoboszlai",20,"¢æ25.00m"
"284","Samu Chukwueze",21,"¢æ25.00m"
"285","Marash Kumbulla",20,"¢æ25.00m"
"286","Moise Kean",20,"¢æ25.00m"
"287","Ozan Kabak",20,"¢æ25.00m"
"288","Ben Godfrey",22,"¢æ25.00m"
"289","Jeff Reine-Adelaide",22,"¢æ25.00m"
"290","Donyell Malen",21,"¢æ25.00m"
"291","Everton",24,"¢æ25.00m"
"292","Gaetano Castrovilli",23,"¢æ25.00m"
"293","Nikola Vlasic",23,"¢æ25.00m"
"294","Manuel Akanji",25,"¢æ25.00m"
"295","Mario Hermoso",25,"¢æ25.00m"
"296","Angelino",23,"¢æ25.00m"
"297","Issa Diop",23,"¢æ25.00m"
"298","Patrik Schick",24,"¢æ25.00m"
"299","Alex Meret",23,"¢æ25.00m"
"300","Abdou Diallo",24,"¢æ25.00m"
"301","Thomas Strakosha",25,"¢æ25.00m"
"302","Djene",28,"¢æ25.00m"
"303","Jeremie Boga",23,"¢æ25.00m"
"304","Mario Pasalic",25,"¢æ25.00m"
"305","Federico Bernardeschi",26,"¢æ25.00m"
"306","John Stones",26,"¢æ25.00m"
"307","Pierre-Emile Hojbjerg",25,"¢æ25.00m"
"308","Felipe Anderson",27,"¢æ25.00m"
"309","Inigo Martinez",29,"¢æ25.00m"
"310","Yussuf Poulsen",26,"¢æ25.00m"
"311","Felipe",31,"¢æ25.00m"
"312","Yannick Carrasco",27,"¢æ25.00m"
"313","Conor Coady",27,"¢æ25.00m"
"314","Abdoulaye Doucoure",27,"¢æ25.00m"
"315","Paco Alcacer",27,"¢æ25.00m"
"316","Allan",29,"¢æ25.00m"
"317","Jose Campana",27,"¢æ25.00m"
"318","Sergi Roberto",28,"¢æ25.00m"
"319","Lucas Moura",28,"¢æ25.00m"
"320","Pablo Sarabia",28,"¢æ25.00m"
"321","Gareth Bale",31,"¢æ25.00m"
